Filename-->;fres200_410ms_15deg.RAW8;fres200_410ms_15deg_dark.RAW8;fres400_85_15deg.RAW8;fres400_85_15deg_dark.RAW8;IL200_4.7ms_15deg.RAW8;IL200_4.7ms_15deg_dark.RAW8;IL400_6.1ms_15deg.RAW8;IL400_6.1ms_15deg_dark.RAW8;water200_1.5s_15deg.RAW8;water200_1.5s_15deg_dark.RAW8;water400_259ms_15deg.RAW8;water400_259ms_15deg_dark.RAW8
Mode/Unit-->;;;;;;;;;;;;
Int.time[ms]-->;410,5248718;410,5248718;85,19192505;85,19192505;4,720886707;4,720886707;6,129270077;6,129270077;1491,4823;1491,4823;259,3998413;259,3998413
NrOfAverages-->;1;1;6;6;100;100;82;82;1;1;2;2
Smoothing-->;0;0;0;0;0;0;0;0;0;0;0;0
Wavelength [nm];200 mu 410 ms 15 deg air;200 mu 410 ms 15 deg air dark;400 mu 85 ms 15 deg air;400 mu 85 ms 15 deg air dark;200 mu 4.7 ms 15 deg IL;200 mu 4.7 ms 15 deg IL dark;400 mu 6.1 ms 15 deg IL;400 mu 6.1 ms 15 deg IL dark;200 mu 1.5 s 15 deg water;200 mu 1.5 s 15 deg water dark;400 mu 259 ms 15 deg water;400 mu 259 ms 15 deg water dark
206,129;811,9393311;773,3825684;185,1643219;152,8540802;33,61514282;14,63245773;40,00608063;15,41469193;3042,740967;3052,793701;593,3374023;590,104248
206,692;837,8484497;809,2757568;188,369339;160,16922;37,49668503;15,90442371;42,09361267;18,66006851;3122,517578;3048,368896;609,803833;605,0258179
207,254;823,9122314;815,2141724;191,5014648;164,1587372;38,6450119;17,59555817;44,52538681;19,36823654;3111,658447;3126,124023;618,9007568;602,4805298
207,817;769,1481934;749,6177979;171,6573792;136,060791;27,25307083;12,55812836;33,04943848;13,67973804;3017,838135;3025,72876;568,4199829;551,2770386
208,379;839,5963745;817,4383545;184,6962128;159,0302277;30,37579536;12,98143101;36,50912094;15,27977562;3223,42334;3165,015381;606,4645386;609,6452026
208,942;759,3778687;747,4547729;171,4702911;137,6996918;27,49069214;12,50112915;33,59896851;13,57223225;2916,918213;2847,080566;554,2372437;554,1572876
209,504;846,4688721;818,2678223;193,5790558;168,8345337;35,36087418;14,92457008;40,52348709;18,51383781;3229,2771;3163,337402;610,4285278;606,0199585
210,066;890,0206909;850,1535034;204,5206757;175,3150635;38,37989044;17,2866745;43,16123581;20,61297607;3304,827393;3253,882813;639,041748;650,9359741
210,628;852,0414429;825,1958618;183,1198578;164,1556244;32,33698273;15,85589409;37,25907135;18,03922081;3191,106934;3140,051514;627,0397339;613,9671021
211,191;867,4640503;803,2467041;180,7028656;163,6642761;33,01316071;14,57495785;38,4863739;17,1238842;3158,640869;3074,253418;621,4350586;606,0044556
211,753;840,9281006;750,6761475;167,5037689;125,9040451;23,3817749;11,32705498;28,08019257;11,715518;3122,598145;3128,960693;590,1685791;550,3199463
212,315;855,1035767;811,3231201;180,7507324;156,5106049;30,77823448;14,23355293;35,40619278;16,03746414;3101,945313;3103,557129;600,5336304;584,0605469
212,877;872,9313965;851,1516113;186,0798187;175,4814148;32,45676422;15,73670864;37,88720703;17,46666145;3277,770996;3237,875488;626,4534302;624,4345703
213,439;837,4561157;810,1625977;175,0448151;165,1499634;32,94390488;15,5165062;39,27610397;16,44211769;3211,103271;3157,919189;624,47229;600,942688
214,002;770,6952515;745,6292725;155,8159027;120,0627365;25,04349709;12,70791721;31,05867195;15,30153084;3054,184326;3034,774414;571,9608765;546,7855225
214,564;780,15625;736,2612305;166,3694305;144,8334198;31,61492348;14,93469048;37,41194153;17,67246437;2996,079102;2958,311279;567,1194458;569,0151367
215,126;762,3729858;697,8743286;153,7067566;99,77111816;16,04036903;10,12340736;20,73887634;10,65180683;2962,578613;2889,748535;544,5070801;497,9655151
215,688;749,5597534;697,3746338;150,2073822;126,8527222;22,30934525;12,20260429;28,52132797;13,89041138;2822,500488;2755,761963;533,9620972;519,5984497
216,250;712,5102539;646,4995117;140,8705444;115,8739777;22,55418587;10,71030617;25,84725761;11,05941963;2670,268311;2641,258301;503,8455811;493,190155
216,812;785,117981;773,2394409;171,1195679;154,8297119;31,07228088;12,61509132;34,49920273;15,42886257;3060,421875;3018,224609;591,5928955;584,9991455
217,374;847,1864014;774,786438;167,1670227;114,7561646;16,19486046;10,21502399;20,27323532;10,72619057;3209,927734;3163,39917;610,8676758;556,901001
217,936;837,6411133;790,2924194;176,1568451;150,5053864;25,34322357;13,63411713;32,03630829;16,14764404;3121,019287;3119,435059;604,5875854;590,0380249
218,498;879,1307983;875,0509033;189,3009186;182,7976074;31,57097435;15,84856224;38,02692795;18,90707588;3255,731445;3318,474854;635,7069092;658,8605957
219,060;782,6156006;752,2289429;164,6814728;148,6612396;24,56840897;11,91528606;28,92575836;13,39242268;3007,10376;2961,182617;570,0961304;563,991394
219,621;770,546936;714,4163208;163,7662506;132,3598175;23,96150398;11,04183674;28,68254471;12,91422653;2989,758789;2936,927734;564,9269409;551,1290283
220,183;804,3827515;774,1820679;174,3269348;148,819931;27,62013817;13,50614834;32,75789642;16,14916801;3023,689941;3025,996338;589,3884277;581,9569702
220,745;753,5261841;683,6677246;157,8532867;101,9026108;12,39268398;8,837209702;15,84095097;10,67904949;2911,34375;2835,927002;546,7711792;505,3137207
221,307;784,704834;726,5245361;156,808548;119,7115784;14,38981533;9,339844704;18,38285255;11,66882992;2997,024658;2935,35791;568,5266724;539,2085571
221,869;818,4464722;801,4142456;173,1452942;139,6927948;20,04673004;10,52187538;25,3483429;12,32888985;3206,695313;3170,919434;603,3275757;577,1275024
